GENESIS-Tabelle: 12612-0002
Lebendgeborene: Deutschland, Monate, Geschlecht;;;;
Statistik der Geburten;;;;
Deutschland;;;;
Lebendgeborene (Anzahl);;;;
;;männlich;weiblich;Insgesamt
2012;Januar;28042;26486;54528
2012;Februar;26302;24978;51280
2012;März;28042;26984;55026
2012;April;27494;25665;53159
2012;Mai;29222;27461;56683
2012;Juni;28662;26863;55525
2012;Juli;31343;30003;61346
2012;August;31482;30192;61674
2012;September;30441;29174;59615
2012;Oktober;29609;28247;57856
2012;November;27630;25960;53590
2012;Dezember;27360;25902;53262
2013;Januar;28739;27180;55919
2013;Februar;25655;24131;49786
2013;März;27664;26558;54222
2013;April;27648;25989;53637
2013;Mai;29358;27410;56768
2013;Juni;29315;27754;57069
2013;Juli;33045;31163;64208
2013;August;31768;30672;62440
2013;September;32007;30718;62725
2013;Oktober;29646;28479;58125
2013;November;27342;25643;52985
2013;Dezember;27633;26552;54185
2014;Januar;29448;28069;57517
2014;Februar;27289;26055;53344
2014;März;28839;27481;56320
2014;April;28731;27328;56059
2014;Mai;30744;28459;59203
2014;Juni;31224;29322;60546
2014;Juli;34231;32729;66960
2014;August;33112;31346;64458
2014;September;33225;31766;64991
2014;Oktober;31499;30097;61596
2014;November;28787;27349;56136
2014;Dezember;29706;28091;57797
2015;Januar;30328;29162;59490
2015;Februar;27295;26053;53348
2015;März;30047;28428;58475
2015;April;28940;27724;56664
2015;Mai;31141;29814;60955
2015;Juni;32819;30638;63457
2015;Juli;35168;33061;68229
2015;August;34787;32874;67661
2015;September;34766;32812;67578
2015;Oktober;32546;31250;63796
2015;November;30017;28395;58412
2015;Dezember;30624;28886;59510
2016;Januar;31817;30605;62422
2016;Februar;30719;29357;60076
2016;März;32486;30772;63258
2016;April;30976;29125;60101
2016;Mai;33122;31462;64584
2016;Juni;34304;32434;66738
2016;Juli;37623;35413;73036
2016;August;37426;35752;73178
2016;September;36852;35263;72115
2016;Oktober;34867;33522;68389
2016;November;32290;30990;63280
2016;Dezember;33103;31851;64954
__________
© Statistisches Bundesamt (Destatis), 2020
Stand: 18.11.2020 / 18:59:52
